impact_id	biomarker_id	cancer_id	role	mutation_type	clinical_implication	pathway_involvement	treatment
B1C1	B1	C1	Oncogene	SNP, Amplification	Prognosis, Treatment 	MAPK/ERK pathway; cell growth, proliferation, differentiation, survival, apoptosis	Surgery, Chemotherapy
B2C1	B2	C1	Oncogene	SNP, Amplification	Prognosis, Treatment 	MAPK/ERK pathway; cell growth, proliferation, differentiation, survival, apoptosis	Surgery, Chemotherapy
B3C2	B3	C2	Tumor Suppressor	Null Mutation	Prognosis	Cell cycle progression, senesence, apoptosis	Surgery, Chemotherapy
B4C2	B4	C2	Tumor Supressor, Risk Factor	SNP, loss of function	Treatment	DNA Repair, Homologous recombination	PARPi
B5C2	B5	C2	Tumor Supressor, Risk Factor	SNP, loss of function	Treatment	DNA Repair, Homologous recombination	PARPi
B6C2	B6	C2	Disease Progression Factor 	Amplification	Diagnosis, Treatment 	ERK/MAPK, PI3K/AKT, JAK/STAT, angiogenesis, histone modification	Surgery, Chemotherapy
B7C2	B7	C2	Disease Progression Factor 	Amplification	Diagnosis, Treatment 	ERK/MAPK, PI3K/AKT, JAK/STAT, angiogenesis, histone modification	Surgery, Chemotherapy
B8C2	B8	C2	Disease Progression Factor 	amplification	Diagnosis, Recurrence	PI3K/AKT, EMT, JAK2/STAT3, and ERK1/2,	Surgery, Chemotherapy
B9C3	B9	C3	Risk Factor	SNP	Diagnosis	Melanosome organization and melanin biosynthetic process	Antibody-drug Conjugates
B9C4	B9	C4	Risk Factor	SNP	Diagnosis	Melanosome organization and melanin biosynthetic process	Antibody-drug Conjugates
B10C3	B10	C3	Risk Factor	SNP	Diagnosis	Melanosome biogenesis and melanocyte differenciation	Cancer Vaccines, Immunotherapy
B10C5	B10	C5	Risk Factor	SNP	Diagnosis	Melanosome biogenesis and melanocyte differenciation	Cancer Vaccines, Immunotherapy
B11C3	B11	C3	Risk Factor	SNP	Diagnosis	Melanin biosyntetic pathway (rate-limiting enzyme for melanin production)	Drug Related Targeting
B11C4	B11	C4	Risk Factor	SNP	Diagnosis	Melanin biosyntetic pathway (rate-limiting enzyme for melanin production)	Drug Related Targeting
B12C5	B12	C5	Oncogene, Risk Factor	SNP, Amplification, Mutations	Prognosis	Regulation of melanocyte development, pigmentaiton and cell proliferation	Epigentic Therapies
B12C6	B12	C6	Oncogene, Risk Factor	SNP, Amplification, Mutations	Prognosis	Regulation of melanocyte development, pigmentaiton and cell proliferation	Epigentic Therapies
B13C7	B13	C7	Risk Factor	SNP, Amplification	Prognosis	Extracellular matrix organization and cell adhesion	Targeted Therapies 
