reference_id	url	title	source	publication_year	primary_author
1	https://academic.oup.com/jnci/article/95/6/484/2520660	Mutations in BRAF and KRAS Characterize the Development of Low-Grade Ovarian Serous Carcinoma	JNCI: Journal of the National Cancer Institute	2003	Singer, G
2	https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002198	Exploratory Analysis of TP53 Mutations in Circulating Tumour DNA as Biomarkers of Treatment Response for Patients with Relapsed High-Grade Serous Ovarian Carcinoma: A Retrospective Study	PLOS Medicine	2016	Parkinson C, A
3	https://aacrjournals.org/clincancerres/article/10/7/2473/35360/Pathology-of-Ovarian-Cancers-in-BRCA1-and-BRCA2	Pathology of Ovarian Cancers in BRCA1 and BRCA2 Carriers	Clinical Cancer Research	2004	Lakhani, S, R
4	https://pubmed.ncbi.nlm.nih.gov/12839961/	The HE4 (WFDC2) protein is a biomarker for ovarian carcinoma	Cancer Research	2003	Hellström, I
5	https://pmc.ncbi.nlm.nih.gov/articles/PMC4679342/	Clinical Use of Cancer Biomarkers in Epithelial Ovarian Cancer	International Journal of Gynecological Cancer	2016	Sölétormos, G
6	https://www.gynecologiconcology-online.net/article/S0090-8258(04)00079-4/pdf	Utility of osteopontin as a biomarker in recurrent epithelial ovarian cancer	Gynecologic Oncology	2003	Brakora, K, A
7	https://pubmed.ncbi.nlm.nih.gov/25013535/	Diagnostic and prognostic biomarkers in melanoma	The Journal of clinical and aesthetic dermatology	2014	Weinstein, D
8	https://doi.org/10.1093/bjd/ljad365	Assessing the genetic risk of nodular melanoma using a candidate gene approach	British Journal of Dermatology	2023	Stark, MS
9	https://doi.org/10.1038/s41598-024-54136-3	ARID2 mutations may relay a distinct subset of cutaneous melanoma patients with different outcomes 	Scientific Reports	2024	Akinjiyan, FA
10	https://www.cancer.org/cancer/types/melanoma-skin-cancer/causes-risks-prevention/genetic-counseling-and-testing-for-people-at-high-risk-of-melanoma.html	Genetic counseling and testing for people at high risk of melanoma	American Cancer Society 	2023	American Cancer Society
11	https://doi.org/10.3390/genes12071093	Behind the Scene: Exploiting MC1R in Skin Cancer Risk and Prevention	Genes	2021	Manganelli, M
12	 https://doi.org/10.3390/cancers14102371	Non-Melanoma Skin Cancer: A Genetic Update and Future Perspectives.	Cancers	2022	Zambrano-Román, M
13	https://www.ncbi.nlm.nih.gov/books/NBK390611/	BAP1 Tumor Predisposition Syndrome	National Library of Medicine	2024	Pilarski, R.
14	https://www.cancer.gov/publications/dictionaries/cancer-terms/def/ptch2-gene	PTCH2 gene	National Cancer Institute	\N	National Cancer Institute
15	https://www.cancer.gov/publications/dictionaries/cancer-terms/def/recql4-gene	RECQL4 gene	National Cancer Institute	\N	National Cancer Institute
16	https://doi.org/10.1073/pnas.0306551101	DDB2 gene disruption leads to skin tumors and resistance to apoptosis after exposure to ultraviolet light but not a chemical carcinogen	PNAS	2004	Itoh, T.
